transaction_id,user_id,timestamp,amount,latitude,longitude,device_id,is_fraud
T000000,U013,2026-05-22T13:16:07.414152,149.62,-23.55778,-46.37967,DEV0037,0
T000001,U011,2026-05-22T13:16:07.414152,2.69,-23.52388,-46.61665,DEV0044,0
T000002,U013,2026-05-22T13:16:08.414152,378.66,-23.68452,-46.45598,DEV0037,0
T000003,U009,2026-05-22T13:16:08.414152,123.5,-23.56902,-46.454,DEV0086,0
T000004,U011,2026-05-22T13:16:09.414152,69.99,-23.46273,-46.47843,DEV0040,0
T000005,U004,2026-05-22T13:16:09.414152,3.67,-23.45445,-46.51919,DEV0016,0
T000006,U012,2026-05-22T13:16:11.414152,4.99,-23.5364,-46.62876,DEV0020,0
T000007,U006,2026-05-22T13:16:14.414152,40.8,-23.4087,-46.52586,DEV0049,0
T000008,U008,2026-05-22T13:16:14.414152,93.2,-23.52188,-46.64462,DEV0027,0
T000009,U003,2026-05-22T13:16:16.414152,3.68,-23.43854,-46.52886,DEV0022,0
T000010,U014,2026-05-22T13:16:17.414152,7.8,-23.66813,-46.54191,DEV0037,0
T000011,U003,2026-05-22T13:16:17.414152,9.99,-23.48889,-46.72073,DEV0009,0
T000012,U012,2026-05-22T13:16:17.414152,121.5,-23.67266,-46.59491,DEV0023,0
T000013,U010,2026-05-22T13:16:18.414152,27.5,-23.52173,-46.55044,DEV0071,0
T000014,U027,2026-05-22T13:16:19.414152,58.8,-23.58328,-46.46912,DEV0076,0
T000015,U007,2026-05-22T13:16:19.414152,15.99,-23.51595,-46.42757,DEV0046,0
T000016,U011,2026-05-22T13:16:19.414152,12.99,-23.55453,-46.50657,DEV0028,0
T000017,U004,2026-05-22T13:16:20.414152,0.89,-23.4586,-46.54084,DEV0072,0
T000018,U054,2026-05-22T13:16:21.414152,46.8,-24.09551,-46.51467,DEV0073,0
T000019,U014,2026-05-22T13:16:22.414152,5.0,-23.65343,-46.58782,DEV0043,0
T000020,U006,2026-05-22T13:16:23.414152,231.71,-23.68668,-46.53038,DEV0083,0
T000021,U009,2026-05-22T13:16:24.414152,34.09,-23.51765,-46.65045,DEV0010,0
T000022,U011,2026-05-22T13:16:25.414152,2.28,-23.50029,-46.64003,DEV0026,0
T000023,U002,2026-05-22T13:16:25.414152,22.75,-23.52273,-46.51475,DEV0009,0
T000024,U019,2026-05-22T13:16:29.414152,0.89,-23.55499,-46.67386,DEV0001,0
T000025,U020,2026-05-22T13:16:29.414152,26.43,-23.56265,-46.5011,DEV0041,0
T000026,U011,2026-05-22T13:16:30.414152,41.88,-23.51515,-46.60491,DEV0013,0
T000027,U013,2026-05-22T13:16:30.414152,16.0,-23.5679,-46.58984,DEV0057,0
T000028,U004,2026-05-22T13:16:30.414152,33.0,-23.45996,-46.46055,DEV0047,0
T000029,U010,2026-05-22T13:16:30.414152,12.99,-23.56803,-46.50669,DEV0018,0
T000030,U012,2026-05-22T13:16:31.414152,17.28,-23.5444,-46.59525,DEV0076,0
T000031,U011,2026-05-22T13:16:32.414152,4.45,-23.54195,-46.58393,DEV0033,0
T000032,U005,2026-05-22T13:16:33.414152,6.14,-23.46311,-46.49858,DEV0014,0
T000033,U005,2026-05-22T13:16:33.414152,6.14,-23.46311,-46.49858,DEV0014,0
T000034,U005,2026-05-22T13:16:33.414152,1.77,-23.46397,-46.49819,DEV0014,0
T000035,U005,2026-05-22T13:16:33.414152,1.77,-23.46397,-46.49819,DEV0014,0
T000036,U002,2026-05-22T13:16:34.414152,30.49,-23.50317,-46.46373,DEV0026,0
T000037,U014,2026-05-22T13:16:34.414152,1.8,-23.37399,-46.57213,DEV0017,0
T000038,U009,2026-05-22T13:16:36.414152,20.53,-23.56276,-46.57862,DEV0070,0
T000039,U011,2026-05-22T13:16:36.414152,6.54,-23.53363,-46.58159,DEV0032,0
T000040,U012,2026-05-22T13:16:39.414152,29.89,-23.61297,-46.70436,DEV0099,0
T000041,U020,2026-05-22T13:16:39.414152,2.35,-23.33065,-46.61888,DEV0015,0
T000042,U006,2026-05-22T13:16:40.414152,14.8,-23.44737,-46.45926,DEV0023,0
T000043,U009,2026-05-22T13:16:40.414152,9.1,-23.53346,-46.35867,DEV0007,0
T000044,U007,2026-05-22T13:16:41.414152,15.99,-23.53772,-46.36829,DEV0087,0
T000045,U011,2026-05-22T13:16:41.414152,21.34,-23.5448,-46.56836,DEV0087,0
T000046,U002,2026-05-22T13:16:41.414152,18.95,-23.50594,-46.50832,DEV0073,0
T000047,U002,2026-05-22T13:16:41.414152,9.99,-23.50075,-46.49591,DEV0057,0
