transaction_id,user_id,timestamp,amount,latitude,longitude,device_id,recipient_id,is_fraud
T000000,U497,2026-05-22T16:08:11.826481,23.07,-15.80415,-48.05196,DEV0517,M098,0
T000001,U285,2026-05-22T17:47:40.513583,20.06,-20.02235,-43.78761,DEV0312,M084,0
T000002,U126,2026-05-22T15:15:55.394935,306.1,-22.87616,-43.22557,DEV0036,U130,0
T000003,U157,2026-05-22T14:52:08.377147,327.63,-22.87944,-43.21876,DEV0758,U219,0
T000004,U414,2026-05-22T14:53:15.395512,60.95,-22.89675,-43.12037,DEV0053,M072,0
T000005,U452,2026-05-22T15:51:11.207017,10.89,-30.08908,-51.13614,DEV0497,M090,0
T000006,U450,2026-05-23T04:41:45.709651,4.81,-15.78331,-47.91276,DEV0524,U073,0
T000007,U159,2026-05-22T16:26:41.417559,243.24,-22.99104,-43.21959,DEV0659,M070,0
T000008,U397,2026-05-22T16:48:34.976131,51.69,-30.0421,-51.21142,DEV0349,M089,0
T000009,U065,2026-05-22T15:35:31.633552,100.31,-15.82436,-47.85157,DEV0386,M049,0
T000010,U291,2026-05-22T14:03:41.645403,4.47,-29.9525,-51.16721,DEV0273,M046,0
T000011,U085,2026-05-22T17:16:34.836299,194.94,-25.45111,-49.2743,DEV0144,M012,0
T000012,U304,2026-05-22T15:22:54.264296,268.42,-29.96539,-51.1895,DEV0664,U499,0
T000013,U427,2026-05-22T14:32:57.790782,44.81,-15.79273,-47.9096,DEV0378,U271,0
T000014,U141,2026-05-22T14:14:44.938552,3.38,-25.51305,-49.27822,DEV0058,M027,0
T000015,U156,2026-05-22T14:52:43.196096,33.17,-15.70437,-47.89055,DEV0357,M004,0
T000016,U350,2026-05-22T13:49:44.250389,132.05,-25.42313,-49.34,DEV0696,U312,0
T000017,U445,2026-05-22T13:53:19.895614,72.55,-12.90153,-38.50516,DEV0073,M045,0
T000018,U379,2026-05-22T14:16:03.933687,49.05,-19.79,-43.91385,DEV0662,U271,0
T000019,U378,2026-05-22T15:00:27.267929,562.18,-23.53466,-46.55782,DEV0177,M068,0
T000020,U019,2026-05-22T17:10:21.154893,108.98,-25.39907,-49.23925,DEV0092,M055,0
T000021,U175,2026-05-22T13:57:56.254316,189.42,-25.305,-49.36791,DEV0394,M037,0
T000022,U476,2026-05-22T14:17:27.830128,84.99,-12.93469,-38.56901,DEV0141,M025,0
T000023,U291,2026-05-22T15:53:45.978432,52.41,-30.12801,-51.31641,DEV0273,U460,0
T000024,U188,2026-05-22T17:04:40.320528,203.78,-23.51644,-46.64697,DEV0469,U036,0
T000025,U353,2026-05-22T15:20:26.514490,97.2,-30.10646,-51.27881,DEV0627,M013,0
T000026,U130,2026-05-22T15:47:39.010620,8.54,-15.84737,-47.888,DEV0051,M067,0
T000027,U381,2026-05-22T16:03:00.081528,22.57,-23.55768,-46.65973,DEV0084,M035,0
T000028,U286,2026-05-22T15:20:27.205066,252.13,-19.85174,-43.89978,DEV0623,M062,0
T000029,U055,2026-05-22T17:00:06.352643,30.39,-15.72553,-47.89874,DEV0331,U238,0
T000030,U115,2026-05-22T14:07:35.935187,406.65,-30.03095,-51.1787,DEV0253,U150,0
T000031,U406,2026-05-22T13:57:57.417354,226.86,-30.02792,-51.22532,DEV0007,U226,0
T000032,U292,2026-05-22T14:29:05.613789,9.9,-22.94201,-43.18484,DEV0126,U458,0
T000033,U323,2026-05-22T14:54:27.118205,54.12,-19.89787,-43.80985,DEV0550,U428,0
T000034,U316,2026-05-22T18:08:33.293517,15.28,-22.92873,-43.11458,DEV0654,U158,0
T000035,U067,2026-05-22T17:40:03.012095,209.34,-19.92605,-43.97229,DEV0113,M002,0
T000036,U206,2026-05-22T21:16:23.154876,91.07,-12.98266,-38.49152,DEV0653,U164,0
T000037,U321,2026-05-22T16:39:36.039860,79.28,-22.90628,-43.23849,DEV0596,M025,0
T000038,U482,2026-05-22T14:17:13.677712,1.72,-23.52511,-46.6306,DEV0689,M013,0
T000039,U020,2026-05-22T15:29:13.722314,13.57,-30.09508,-51.1877,DEV0428,M060,0
T000040,U287,2026-05-22T14:40:21.152605,23.22,-19.95173,-43.93763,DEV0751,U253,0
T000041,U463,2026-05-22T22:42:35.450860,68.78,-22.93747,-43.18802,DEV0727,M097,0
T000042,U103,2026-05-22T14:22:56.802252,147.13,-15.80974,-47.95457,DEV0670,M038,0
T000043,U063,2026-05-22T16:54:14.110434,41.36,-23.61414,-46.56603,DEV0692,M086,0
T000044,U229,2026-05-22T14:57:29.840311,77.2,-12.99976,-38.52087,DEV0450,M079,0
T000045,U471,2026-05-22T13:31:27.072266,133.24,-25.47811,-49.27485,DEV0349,M063,0
T000046,U256,2026-05-22T14:53:08.577377,65.51,-15.80226,-47.97344,DEV0335,U232,0
T000047,U221,2026-05-22T14:58:57.267790,96.47,-15.76586,-47.91885,DEV0408,U017,0
T000048,U425,2026-05-22T16:16:34.629031,66.27,-22.8729,-43.1973,DEV0356,M060,0
T000049,U284,2026-05-22T16:00:25.439647,22.17,-22.89297,-43.13293,DEV0365,M060,0
T000050,U173,2026-05-22T14:53:16.872672,22.39,-19.81663,-43.92767,DEV0413,M087,0
T000051,U109,2026-05-22T16:44:10.369223,5.37,-23.55,-46.66043,DEV0512,M031,0
T000052,U139,2026-05-22T20:38:34.799360,196.42,-25.45894,-49.21357,DEV0106,M005,0
T000053,U352,2026-05-22T14:06:17.855412,111.97,-25.42691,-49.3157,DEV0685,U136,0
T000054,U409,2026-05-22T23:11:16.410534,2627.75,-22.91737,-43.17877,DEV0514,U119,1
T000055,U347,2026-05-22T21:14:01.196825,299.45,-22.83038,-43.14751,DEV0517,U381,0
T000056,U010,2026-05-22T15:15:18.140726,400.99,-23.58024,-46.69736,DEV0475,M089,0
T000057,U500,2026-05-22T14:18:47.815516,16.37,-12.96088,-38.50963,DEV0490,M099,0
T000058,U222,2026-05-22T18:38:52.121223,312.35,-22.91516,-43.15877,DEV0348,U149,0
T000059,U302,2026-05-22T16:22:12.368075,166.33,-15.83204,-47.90405,DEV0503,M089,0
T000060,U285,2026-05-22T20:24:53.178587,4.59,-19.94741,-43.92083,DEV0312,U464,0
T000061,U088,2026-05-22T14:34:03.066269,177.77,-12.93123,-38.45879,DEV0037,M019,0
T000062,U030,2026-05-22T17:31:41.326042,61.15,-22.93792,-43.149,DEV0217,M016,0
T000063,U364,2026-05-22T16:58:18.763237,1010.13,-15.79055,-47.97173,DEV0051,U492,0
T000064,U405,2026-05-22T20:13:14.875215,4439.87,-15.80583,-47.98471,DEV0469,U421,1
T000065,U014,2026-05-22T16:09:53.545939,25.36,-25.37208,-49.2341,DEV0505,U071,0
T000066,U101,2026-05-22T15:01:44.378209,13.05,-23.48996,-46.60235,DEV0688,M026,0
T000067,U469,2026-05-22T13:55:58.852601,18.24,-22.92761,-43.23194,DEV0183,M071,0
T000068,U014,2026-05-22T18:45:06.986581,2.88,-25.39169,-49.32297,DEV0505,M024,0
T000069,U082,2026-05-22T15:41:21.323521,7.56,-29.98009,-51.28875,DEV0338,M024,0
T000070,U030,2026-05-23T01:34:34.174107,15.01,-22.90272,-43.10757,DEV0217,M094,0
T000071,U183,2026-05-22T14:32:02.112755,6.4,-23.51185,-46.58919,DEV0612,M033,0
T000072,U260,2026-05-22T15:52:00.970888,7.65,-12.9289,-38.45761,DEV0797,U326,0
T000073,U061,2026-05-22T22:31:05.797989,13.97,-23.5146,-46.54952,DEV0234,M070,0
T000074,U365,2026-05-22T16:33:52.023989,22.51,-23.57107,-46.60686,DEV0726,M064,0
T000075,U049,2026-05-22T15:42:18.296706,351.24,-29.98914,-51.1463,DEV0749,M039,0
T000076,U129,2026-05-22T17:47:34.000740,1.98,-22.92051,-43.22287,DEV0800,U474,0
T000077,U414,2026-05-22T15:34:08.134176,3.84,-22.86248,-43.20753,DEV0053,U400,0
T000078,U106,2026-05-22T17:09:18.707481,44.4,-15.7714,-47.93766,DEV0609,M082,0
T000079,U441,2026-05-22T15:32:41.894025,6.59,-23.55894,-46.62775,DEV0762,M032,0
T000080,U148,2026-05-22T14:33:11.361497,325.81,-29.97661,-51.23655,DEV0581,U142,0
T000081,U314,2026-05-22T22:14:31.961842,19.21,-19.95919,-43.90396,DEV0724,M089,0
T000082,U396,2026-05-22T15:04:21.475894,35.49,-30.05594,-51.24479,DEV0476,M071,0
T000083,U289,2026-05-22T16:07:40.926943,4.24,-19.89586,-43.89984,DEV0015,M086,0
T000084,U098,2026-05-22T13:24:59.167668,8.81,-25.49172,-49.2762,DEV0161,U113,0
T000085,U330,2026-05-22T15:51:12.517627,24.23,-23.51954,-46.53043,DEV0229,M040,0
T000086,U059,2026-05-22T16:04:31.717066,1.59,-23.58192,-46.60318,DEV0259,M020,0
T000087,U068,2026-05-22T16:42:23.741285,12.02,-25.41225,-49.28592,DEV0566,U093,0
T000088,U381,2026-05-22T17:16:00.750382,429.92,-23.55355,-46.67009,DEV0084,U097,0
T000089,U227,2026-05-22T14:45:07.823718,24.41,-12.99272,-38.44398,DEV0558,U308,0
T000090,U268,2026-05-22T16:16:40.001260,109.68,-23.53237,-46.56488,DEV0195,M055,0
T000091,U399,2026-05-22T18:57:41.687032,89.05,-30.01036,-51.26002,DEV0443,U263,0
T000092,U365,2026-05-22T21:18:47.120640,121.72,-23.57783,-46.65909,DEV0726,U381,0
T000093,U101,2026-05-22T16:12:23.230812,24.65,-23.54929,-46.56269,DEV0688,U063,0
T000094,U021,2026-05-22T16:12:45.250431,145.36,-30.0777,-51.19952,DEV0035,M003,0
T000095,U281,2026-05-22T17:21:31.174510,11.65,-12.95673,-38.50515,DEV0692,M009,0
T000096,U434,2026-05-22T14:26:50.405564,58.83,-15.8465,-47.87504,DEV0363,M086,0
T000097,U476,2026-05-22T15:47:54.396926,24.16,-13.00132,-38.41935,DEV0141,U307,0
T000098,U314,2026-05-23T00:09:41.620214,67.49,-19.83818,-43.90883,DEV0724,U351,0
T000099,U419,2026-05-22T14:55:32.896502,256.46,-23.56638,-46.66707,DEV0552,M047,0
T000100,U201,2026-05-22T16:17:33.519088,3120.34,-29.99121,-51.2366,DEV0327,M015,0
T000101,U227,2026-05-22T17:38:58.347966,12.49,-12.95427,-38.4904,DEV0558,M009,0
T000102,U333,2026-05-22T19:02:41.403941,71.5,-15.79907,-47.98613,DEV0132,M014,0
T000103,U328,2026-05-22T15:01:18.469984,108.42,-23.55539,-46.56271,DEV0296,M040,0
T000104,U154,2026-05-22T20:51:23.078126,16.2,-22.87976,-43.12866,DEV0474,U174,0
T000105,U063,2026-05-22T18:33:31.843226,77.98,-23.44052,-46.6067,DEV0692,M038,0
T000106,U164,2026-05-22T14:39:56.229416,75.15,-12.97237,-38.51656,DEV0691,M075,0
T000107,U489,2026-05-22T13:57:32.532349,837.58,-25.40698,-49.22834,DEV0710,M041,0
T000108,U255,2026-05-22T13:24:37.589375,40.35,-22.9033,-43.11481,DEV0306,M020,0
T000109,U172,2026-05-22T13:31:24.366578,8.32,-22.89354,-43.1408,DEV0501,U217,0
T000110,U008,2026-05-22T14:53:11.679570,37.26,-13.0041,-38.59293,DEV0161,U362,0
T000111,U308,2026-05-22T15:53:03.586873,11.09,-19.85621,-43.84702,DEV0004,U132,0
T000112,U348,2026-05-22T14:52:57.778414,131.2,-23.44195,-46.64209,DEV0118,U162,0
T000113,U361,2026-05-22T15:28:26.765821,389.62,-25.43368,-49.28252,DEV0356,M012,0
T000114,U283,2026-05-22T14:46:51.431257,26.62,-22.97712,-43.17706,DEV0028,M084,0
T000115,U141,2026-05-22T15:48:09.258222,43.84,-25.45265,-49.23453,DEV0058,M049,0
T000116,U106,2026-05-22T17:52:00.104532,374.23,-15.81906,-47.93892,DEV0609,M088,0
T000117,U059,2026-05-22T17:30:29.907680,23.9,-23.45544,-46.63633,DEV0259,U334,0
T000118,U045,2026-05-22T15:29:58.454528,54.03,-29.99303,-51.22677,DEV0554,U269,0
T000119,U417,2026-05-22T16:58:06.694472,780.67,-22.9068,-43.1729,DEV0727,M087,1
T000120,U324,2026-05-22T15:26:51.881633,249.5,-15.82451,-47.94454,DEV0095,M084,0
T000121,U332,2026-05-22T13:29:47.061229,71.4,-12.96297,-38.4793,DEV0379,M066,0
T000122,U461,2026-05-22T14:46:58.621248,16.35,-22.89646,-43.13495,DEV0391,U084,0
T000123,U117,2026-05-22T19:15:02.758336,6.86,-22.96399,-43.16747,DEV0793,M012,0
